,classifier,feature count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
25,BernoulliNB,29,0.7183418273925781,0.019141660183733648,1.0228850841522217,0.011219121850238682,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
26,DecisionTree,29,1.5459442615509034,0.024523325661812343,0.7117797374725342,0.017926350269271325,0.9998739921217361,1.1650283994730544e-05,0.9998768977414226,1.148649606439491e-05,0.9998702949704367,1.1992092269091745e-05,0.9998735725736501,1.1741204025095033e-05
27,ExtraTrees,29,11.745299434661865,0.03519286525261579,4.538111209869385,0.024342144422140874,0.992393706257529,0.0011416661172288403,0.9924048904917587,0.0011433774983347163,0.9921705637369744,0.0011751558087924456,0.9922492619865915,0.0011738221347295668
28,GaussianNB,29,0.745624303817749,0.02185252863165338,1.7287581443786622,0.008960117777446786,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
29,GradientBoosting,29,777.7052432060242,38.36334424194143,8.800269985198975,0.30326468088359027,0.9998414739596037,1.5824973287345917e-05,0.9998431013236402,1.662376964676347e-05,0.99983952131271,1.5146254827044893e-05,0.9998413021575278,1.5875146579360096e-05
30,KNeighbors,29,0.5931094646453857,0.06934456005212435,2857.5441267967226,71.68683909506134,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
31,LinearSVC,29,24.71356244087219,0.7706952020436276,0.6829170227050781,0.010024242674336848,0.9936693050720944,0.0012862377972111586,0.9937672946367307,0.001306414464300994,0.9934972858833987,0.0013185084082642175,0.9936021922786825,0.0013182629460239583
32,RadiusNeighbors,29,0.5166385650634766,0.009023844151347379,1058.7732162475586,0.8310218207867728,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
33,RandomForest,29,23.799142360687256,0.5504091675225107,4.811984205245972,0.02398140120620966,0.9979594853261793,0.0005409448454480151,0.9979220822812831,0.0005479767055192357,0.9978996496546391,0.000556826863193233,0.9979029610709679,0.0005568378050303459
34,SGD,29,17.038661909103393,1.3565729443599166,0.6920617103576661,0.007365242084582038,0.9525999748723292,0.0032030944323710995,0.9532119670545279,0.0032866329533402993,0.9513689934478571,0.0032807466172352223,0.9515530970894174,0.003354325886907572
35,SVC,29,18.48393702507019,0.047013331975771275,102.78899073600769,1.6443667179334318,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
36,AdaBoost,42,18.455908155441286,0.1637759244589946,5.63058762550354,0.02337932009728983,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
37,BernoulliNB,42,0.7225672721862793,0.014661511623378422,1.0351503372192383,0.008027423596725104,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
38,DecisionTree,42,1.5537591934204102,0.0227766506339894,0.7015780448913574,0.008622704998933362,0.9998710359251787,1.2388721085985933e-05,0.9998739828286164,1.2165869383931978e-05,0.9998672942167197,1.2744736467126184e-05,0.9998706143424739,1.2457637494261225e-05
